idUnidad;nombreUnidad;contactoUnidad;direccionUnidad;idComuna;idModalidad
8101001;PEQUENA PEWEN  ;Sin contacto;PJE C 74 POBL TENIENTE MERINO I BARRIO NORTE  ;1;1
8101002;CARACOLITO  ;Sin contacto;PASAJE 11 N 289 POBLACION TENIENTE MERINO II CONCEPCION  ;1;1
8101003;NINOS EN ACCION  ;Sin contacto;AV LAGUNA REDONDA 2320  ;1;1
8101005;PETER PAN  ;Sin contacto;CAMILO HENRIQUEZ 2505 CONCEPCION  ;1;1
8101006;COSTANERA SUR  ;Sin contacto;RANCAGUA 219 PEDRO DE VALDIVIA BAJO CONCEPCION  ;1;1
8101031;VILLA CAP  ;Sin contacto;AVENIDA PRINCIPAL 364 VILLA CAP CONCEPCION  ;1;1
8101032;UBB COLLAO ENTRE VALLES  ;Sin contacto;CAMINO A NONGUEN 430 CONCEPCION  ;1;1
8101033;MAGALLANES  ;Sin contacto;MAGALLANES 1470 TERRAZAS LAS LOMAS CONCEPCION  ;1;1
8101041;LOS CISNES  ;Sin contacto;LOS PIBES 40 POBL LAS LAGUNAS BARRIO NORTE  ;1;1
8101042;LO GALINDO ;Sin contacto;AV ANDALIEN 1359 BARRIO MODELO SECTOR SANTA SABINA  ;1;1
8101044;HIJOS DE LA TIERRA  ;Sin contacto;GALVARINO 1080 CONCEPCION  ;1;1
8102001;BERTA  ;443671503;Millabu 543 Poblacion Berta  ;2;1
8102046;PEUMAYEN  ;443671505;ANDALIEN 3475 VILLA ESCUADRON CORONEL  ;2;1
8102050;LIHUEN ;443671506;Juan Leal Silva 1213 La Pena  ;2;1
8102051;SUENOS DE ESPERANZA DE GABRIELA MISTRAL  ;443671507;Avenida Las Torres Ex El Maite N 3357  ;2;1
8103001;CHIGUAY  ;Sin contacto;La Marina 519  ;3;1
8103002;LA LEONERA  ;Sin contacto;Los Andes Esquina Escocia s n La Leonera  ;3;1
8103003;HEROES DEL SOL  ;Sin contacto;La Marina s n  ;3;1
8103009;FUTURA ESPERANZA  ;Sin contacto;Italia 600 Villa La Leonera  ;3;1
8106001;CALERO SUR  ;443671508;Arturo Perez Canto s n Pob Calero Sur  ;6;1
8106002;BALDOMERO LILLO  ;443671509;Evaristo Azocar 62 Fundicion Lota  ;6;1
8106003;MATIAS COUSINO  ;443671510;Juan Manuel del Valle 498 Lota Alto  ;6;1
8106004;LAS ABEJITAS  ;443671511;Poblacion libertad calle miramar s n Lota  ;6;1
8107001;LORD COCHRANE  ;443671473;Yerrbas Buenas 30 Penco  ;7;1
8107002;MI MUNDO DE DULZURA  ;443671474;Las Heras 75  ;7;1
8107021;PEQUENOS CONQUISTADORES  ;443671480;Esteban de Soza 440 lomas del Conquistador Penco  ;7;1
8107022;TESOROS DEL MAR  ;443671481;Camino viejo n 141 Pob Mejoreros  ;7;1
8108001;NUESTRA SENORA DE LAS NIEVES  ;443671513 - 443671514 - 443671515;Avda 05 de octubre 375 boca sur  ;8;1
8108015;ESPUMA DE MAR  ;443671517;Calle Diguillin n 956 Pob Cardenal Raul Silva Henriquez  ;8;1
8108025;NINOS DEL MAR  ;443671520;Calle Piedra de Francia n 300 Sector Valle La Piedra Boca Sur  ;8;1
8110005;LA GLORIA  ;443671482 - 443671483 - 443671484;AURELIO COVENA 495 HIGUERAS THNO  ;10;1
8110006;PATRICIO LYNCH  ;443671485 - 443671486 - 443671487;SAN MIGUEL 526 POBLACION PATRICIO LYNCH TALCAHUANO  ;10;1
8110032;CRUZ DEL SUR  ;443671492;VOLCAN HUDSON 315 POBLACION CRUZ DEL SUR TALCAHUANO  ;10;1
